Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,13.100000,13.200000,12.900000,13.040000,13.040000,13436
2015-01-02,12.980000,13.450000,12.920000,13.200000,13.200000,40363
2015-01-05,13.400000,13.400000,13.140000,13.140000,13.140000,13889
2015-01-06,12.720000,13.140000,12.620000,12.900000,12.900000,54665
2015-01-07,12.900000,13.200000,12.810000,13.050000,13.050000,44129
2015-01-08,13.250000,13.450000,12.900000,13.110000,13.110000,28934
2015-01-09,13.350000,13.350000,12.920000,13.200000,13.200000,14334
2015-01-12,13.200000,13.440000,13.020000,13.080000,13.080000,13921
2015-01-13,13.300000,13.300000,12.900000,12.910000,12.910000,24536
2015-01-14,13.230000,13.230000,12.900000,13.010000,13.010000,18752
2015-01-15,13.260000,13.290000,13.050000,13.190000,13.190000,19718
2015-01-16,13.300000,13.390000,13.180000,13.240000,13.240000,17387
2015-01-19,13.400000,13.470000,13.150000,13.330000,13.330000,22302
2015-01-20,13.480000,13.500000,13.260000,13.440000,13.440000,33339
2015-01-21,13.480000,13.480000,13.250000,13.390000,13.390000,41751
2015-01-22,13.210000,13.600000,13.210000,13.340000,13.340000,38839
2015-01-23,13.250000,13.480000,13.250000,13.400000,13.400000,37719
2015-01-27,13.500000,13.690000,13.400000,13.550000,13.550000,34157
2015-01-28,13.700000,13.800000,13.600000,13.750000,13.750000,23047
2015-01-29,13.750000,13.750000,13.330000,13.560000,13.560000,41153
2015-01-30,13.310000,13.730000,13.310000,13.670000,13.670000,25464
2015-02-02,13.700000,13.890000,13.700000,13.830000,13.830000,22105
2015-02-03,13.900000,13.900000,13.560000,13.660000,13.660000,14100
2015-02-04,13.880000,13.880000,13.480000,13.640000,13.640000,6333
2015-02-05,13.890000,13.900000,13.450000,13.480000,13.480000,20087
2015-02-06,13.720000,13.720000,13.350000,13.350000,13.350000,4438
2015-02-09,13.690000,13.690000,13.000000,13.090000,13.090000,35121
2015-02-10,13.480000,13.480000,12.900000,13.190000,13.190000,5924
2015-02-11,13.430000,13.430000,13.180000,13.190000,13.190000,5001
2015-02-12,13.360000,13.450000,13.170000,13.410000,13.410000,223475
2015-02-13,13.680000,13.680000,13.420000,13.480000,13.480000,6673
2015-02-16,13.640000,13.700000,13.560000,13.660000,13.660000,33331
2015-02-18,13.700000,13.700000,13.110000,13.570000,13.570000,30944
2015-02-19,13.690000,13.800000,13.450000,13.500000,13.500000,33597
2015-02-20,13.670000,13.730000,13.510000,13.650000,13.650000,37312
2015-02-23,13.760000,13.760000,13.520000,13.530000,13.530000,27431
2015-02-24,13.700000,13.700000,13.410000,13.410000,13.410000,6448
2015-02-25,13.410000,13.730000,13.380000,13.450000,13.450000,57412
2015-02-26,13.540000,13.540000,13.200000,13.270000,13.270000,10312
2015-02-27,13.580000,13.580000,13.350000,13.430000,13.430000,261377
2015-02-28,null,null,null,null,null,null
2015-03-02,13.670000,13.770000,13.500000,13.730000,13.730000,92756
