Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,12638.299805,12762.000000,12638.299805,12699.799805,12699.799805,0
2015-01-05,12707.799805,12798.150391,12694.900391,12710.700195,12710.700195,0
2015-01-06,12646.400391,12646.400391,12304.400391,12325.700195,12325.700195,0
2015-01-07,12341.000000,12408.250000,12212.500000,12360.900391,12360.900391,0
2015-01-08,12479.900391,12583.549805,12479.900391,12575.900391,12575.900391,0
2015-01-09,null,null,null,null,null,null
2015-01-12,12598.400391,12661.500000,12555.849609,12642.549805,12642.549805,0
2015-01-13,12679.650391,12717.750000,12601.349609,12643.950195,12643.950195,0
2015-01-14,12675.650391,12726.150391,12578.099609,12616.750000,12616.750000,0
2015-01-15,12783.500000,12837.000000,12705.950195,12792.450195,12792.450195,0
2015-01-16,12805.650391,12924.400391,12758.599609,12868.849609,12868.849609,0
2015-01-19,12893.450195,12979.799805,12893.450195,12903.900391,12903.900391,0
2015-01-20,12945.849609,13011.400391,12939.549805,12949.849609,12949.849609,0
2015-01-21,12988.150391,13033.299805,12908.200195,12961.799805,12961.799805,0
2015-01-22,12959.099609,13041.049805,12925.450195,12988.950195,12988.950195,0
2015-01-23,null,null,null,null,null,null
2015-01-27,13080.849609,13147.849609,13045.599609,13143.799805,13143.799805,0
2015-01-28,13137.500000,13282.049805,13132.650391,13220.099609,13220.099609,0
2015-01-29,13228.799805,13241.349609,13146.950195,13179.099609,13179.099609,0
2015-01-30,null,null,null,null,null,null
2015-02-02,13135.049805,13229.950195,13130.599609,13207.650391,13207.650391,0
2015-02-03,13260.599609,13273.549805,13086.099609,13101.849609,13101.849609,0
2015-02-04,13159.450195,13159.450195,13026.500000,13055.849609,13055.849609,0
2015-02-05,13061.349609,13112.500000,12825.500000,12863.450195,12863.450195,0
2015-02-06,null,null,null,null,null,null
2015-02-09,12668.250000,12668.250000,12512.000000,12531.750000,12531.750000,0
2015-02-10,12483.799805,12720.500000,12452.000000,12616.549805,12616.549805,0
2015-02-11,12674.549805,12864.599609,12674.549805,12842.900391,12842.900391,0
